date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-24,7.89,8.07,7.85,7.95,17292600.0,0.287,-0.068,0.2189,7.3811,8.5354,7.9582,53.913,8.09,8.0773,3.4615,72.6706,12.9166,False
2012-02-27,8.35,8.79,8.31,8.56,59879300.0,0.2783,-0.0347,0.2436,7.4343,8.5952,8.0147,63.5763,8.116,8.118,15.3543,115.179,19.4094,False
2012-02-28,8.8,9.16,8.77,8.88,71856200.0,0.2798,0.006,0.2858,7.4267,8.7348,8.0807,67.4163,8.25,8.195,20.6851,140.5205,22.4317,True
2012-02-29,9.07,9.1,8.51,8.55,48164700.0,0.2817,0.0075,0.2892,7.4839,8.7731,8.1285,60.3826,8.352,8.24,18.4896,121.0879,19.2362,True
2012-03-01,8.59,8.84,8.53,8.71,33725100.0,0.2856,0.0157,0.3013,7.5185,8.8395,8.179,62.4194,8.53,8.2763,12.7551,116.5394,19.2362,True
2012-03-02,8.74,8.91,8.61,8.645,24787200.0,0.2889,0.0133,0.3022,7.5703,8.8802,8.2252,61.0532,8.669,8.3087,14.0845,116.0576,19.8189,True
2012-03-05,8.56,8.59,8.17,8.2,30167800.0,0.284,-0.0199,0.264,7.5948,8.8807,8.2377,52.6069,8.597,8.3283,7.7792,82.4623,14.5366,False
2012-03-06,7.965,8.04,7.78,8.0,37490200.0,0.2702,-0.0551,0.2151,7.6421,8.8609,8.2515,49.3212,8.421,8.3383,2.0305,50.41,10.159,False
2012-03-07,8.04,8.25,7.84,8.09,32056600.0,0.2524,-0.071,0.1815,7.6726,8.8519,8.2622,50.8027,8.329,8.3217,4.1667,58.5129,12.0007,False
2012-03-08,8.13,8.24,8.01,8.16,18794500.0,0.2337,-0.075,0.1587,7.6721,8.8519,8.262,51.9727,8.219,8.3137,0.1215,63.287,12.0007,False
2012-03-09,8.16,8.36,8.12,8.33,25549500.0,0.2175,-0.0649,0.1526,7.6819,8.8591,8.2705,54.7714,8.156,8.305,1.9512,73.2069,13.0541,False
2012-03-12,8.26,8.3,8.01,8.08,19889300.0,0.1992,-0.0731,0.1261,7.7077,8.8508,8.2792,50.1653,8.132,8.2817,2.3428,59.5087,11.8065,False
2012-03-13,8.24,8.5,8.2,8.49,31182100.0,0.1867,-0.0501,0.1366,7.7684,8.8541,8.3112,56.5813,8.23,8.3003,5.985,82.7224,13.57,False
2012-03-14,8.68,8.85,8.52,8.58,34004800.0,0.1794,-0.029,0.1505,7.7679,8.8786,8.3232,57.8574,8.328,8.3363,5.8612,105.9258,16.5399,False
2012-03-15,8.63,8.885,8.46,8.83,34668100.0,0.1795,0.0001,0.1796,7.7538,8.9477,8.3507,61.2471,8.462,8.4037,3.9181,112.4182,15.8459,True
2012-03-16,8.87,8.89,8.67,8.82,33081100.0,0.1835,0.0161,0.1995,7.7389,8.9986,8.3687,61.0367,8.56,8.4617,4.5882,119.0089,15.8884,True
2012-03-19,8.76,8.8,8.61,8.63,26237300.0,0.1863,0.0114,0.1977,7.7391,9.0184,8.3787,57.0472,8.67,8.4663,2.5641,106.4449,15.1794,True
2012-03-20,8.58,8.63,8.45,8.57,18186300.0,0.1869,0.0024,0.1893,7.7568,9.0367,8.3967,55.8129,8.686,8.4457,2.0095,91.2967,13.2998,True
2012-03-21,8.74,8.98,8.71,8.74,30788500.0,0.1883,0.0057,0.1941,7.7972,9.0663,8.4317,58.5363,8.718,8.4583,8.9806,121.0153,16.3371,True
2012-03-22,8.73,8.77,8.48,8.71,33388600.0,0.1893,0.0039,0.1932,7.8971,9.0554,8.4762,57.862,8.694,8.4583,9.2154,100.225,13.6757,True
2012-03-23,8.49,8.61,8.25,8.4,47816200.0,0.1846,-0.019,0.1656,7.9704,9.0271,8.4987,51.3172,8.61,8.442,6.6914,68.9378,11.0914,False
2012-03-26,8.42,8.44,8.11,8.25,35598900.0,0.1737,-0.0436,0.1301,7.9449,9.0216,8.4832,48.4747,8.534,8.4453,-3.9818,46.2771,9.5497,False
2012-03-27,8.33,8.65,8.31,8.575,39442300.0,0.1643,-0.0375,0.1268,7.959,8.977,8.468,54.3453,8.535,8.4837,-5.5677,77.9634,11.4248,False
2012-03-28,8.51,8.75,8.4519,8.64,35128600.0,0.157,-0.0291,0.1279,7.9591,8.9859,8.4725,55.4334,8.515,8.5203,-3.8462,90.4872,12.3051,False
2012-03-29,8.61,8.76,8.41,8.42,45879200.0,0.1476,-0.0378,0.1098,7.956,8.96,8.458,51.0235,8.457,8.5377,-0.905,75.7426,11.8315,False
2012-03-30,8.53,8.54,8.08,8.095,50946900.0,0.1317,-0.0634,0.0684,7.9125,8.9485,8.4305,45.3174,8.396,8.522,-4.1526,28.4769,8.1775,False
2012-04-02,8.17,8.25,7.96,8.095,27362500.0,0.1124,-0.0773,0.0352,7.896,8.9545,8.4252,45.3174,8.365,8.523,-3.9581,4.099,6.886,False
2012-04-03,8.03,8.09,7.92,7.99,26508300.0,0.09,-0.0896,0.0004,7.8938,8.9557,8.4247,43.5126,8.248,8.4897,0.6219,-15.6879,6.4552,False
2012-04-04,7.75,7.8,7.45,7.66,52000600.0,0.0614,-0.1146,-0.0532,7.7912,9.0153,8.4032,38.3674,8.052,8.4283,-5.4545,-81.1436,1.5636,False
2012-04-05,7.65,7.78,7.58,7.59,19809500.0,0.0291,-0.1292,-0.1002,7.6735,9.076,8.3747,37.3633,7.886,8.3457,-5.5825,-81.0631,1.5636,False
2012-04-09,7.44,7.47,7.33,7.35,17380900.0,-0.0078,-0.1472,-0.155,7.494,9.1575,8.3257,34.0863,7.737,8.2477,-10.6459,-130.2237,0.9403,False
2012-04-10,7.32,7.42,7.03,7.15,23149500.0,-0.0486,-0.1635,-0.2121,7.3058,9.2527,8.2792,31.6108,7.548,8.149,-10.6024,-162.9058,3.8336,False
2012-04-11,7.23,7.43,7.15,7.165,22609600.0,-0.0895,-0.1637,-0.2532,7.1316,9.2944,8.213,32.0076,7.383,8.0553,-12.5882,-154.6435,3.7309,False
2012-04-12,7.28,7.55,7.11,7.145,57618700.0,-0.1285,-0.1557,-0.2842,6.9794,9.3031,8.1412,31.7445,7.28,7.949,-14.6893,-151.4368,2.4938,False
2012-04-13,7.07,7.1,6.93,6.96,97311100.0,-0.1668,-0.1532,-0.3199,6.8233,9.2722,8.0477,29.3531,7.154,7.8323,-20.09,-194.242,4.236,False
2012-04-16,7.05,7.2,6.95,7.115,56312600.0,-0.1998,-0.1321,-0.3319,6.7276,9.1974,7.9625,33.828,7.107,7.7467,-19.0101,-169.9674,3.1943,False
2012-04-17,7.15,7.325,7.09,7.24,40078800.0,-0.2254,-0.1022,-0.3276,6.6598,9.1262,7.893,37.2616,7.125,7.6793,-16.7614,-142.3196,1.8997,False
2012-04-18,7.16,7.23,7.04,7.07,28851500.0,-0.2471,-0.0869,-0.334,6.5762,9.0598,7.818,34.6423,7.106,7.579,-16.2225,-152.2906,2.3978,False
2012-04-19,7.07,7.31,6.96,7.005,31230600.0,-0.2658,-0.0747,-0.3404,6.5171,8.9454,7.7312,33.6726,7.078,7.47,-18.5969,-148.3838,3.1975,False
2012-04-20,6.8,6.84,6.64,6.64,50173100.0,-0.2867,-0.0839,-0.3707,6.412,8.8435,7.6277,28.8191,7.014,7.3513,-22.0068,-195.1153,6.3197,False
2012-04-23,6.55,6.75,6.46,6.63,35940900.0,-0.3076,-0.0834,-0.391,6.3038,8.7747,7.5392,28.6977,6.917,7.2537,-21.6028,-198.5129,8.0168,False
2012-04-24,6.66,6.74,6.5,6.51,28535200.0,-0.3285,-0.0835,-0.412,6.1846,8.7199,7.4522,27.2231,6.771,7.148,-20.1422,-193.9983,8.0168,False
2012-04-25,6.64,6.69,6.4,6.52,31170000.0,-0.3474,-0.0756,-0.4229,6.1303,8.5687,7.3495,27.5554,6.661,7.05,-22.659,-191.2324,8.9643,False
2012-04-26,6.5,6.675,6.5,6.6,24063100.0,-0.362,-0.0584,-0.4203,6.1411,8.3539,7.2475,30.2845,6.58,6.9793,-23.7143,-175.1282,8.9643,False
2012-04-27,6.65,6.68,6.49,6.57,23209100.0,-0.3727,-0.0431,-0.4159,6.1516,8.1584,7.155,29.833,6.566,6.9113,-23.7443,-167.252,9.0612,False
2012-04-30,6.57,6.68,6.51,6.59,19132600.0,-0.3794,-0.0267,-0.4061,6.1463,8.0132,7.0797,30.5724,6.558,6.8607,-21.7799,-156.6681,9.0612,False
2012-05-01,6.57,6.83,6.52,6.68,29565100.0,-0.3808,-0.0057,-0.3866,6.1862,7.8318,7.009,33.9293,6.592,6.8293,-17.2121,-138.4479,7.29,False
2012-05-02,6.65,6.87,6.65,6.82,28171600.0,-0.3758,0.0201,-0.3557,6.2591,7.6419,6.9505,38.8566,6.652,6.8063,-15.0803,-120.8659,6.8195,True
2012-05-03,6.91,6.97,6.42,6.47,34534500.0,-0.3717,0.0163,-0.3554,6.2512,7.5308,6.891,32.3871,6.626,6.7613,-10.641,-130.7616,9.149,True
2012-05-04,6.65,6.89,6.55,6.55,34523000.0,-0.3663,0.0216,-0.3448,6.2697,7.4083,6.839,35.036,6.622,6.734,-11.4396,-119.6035,9.149,True
2012-05-07,6.6,6.75,6.4,6.5,36590900.0,-0.3604,0.0239,-0.3365,6.2602,7.3328,6.7965,34.1403,6.604,6.693,-9.6386,-124.0535,10.6555,True
2012-05-08,6.43,6.43,6.09,6.24,35849500.0,-0.3577,0.0108,-0.3469,6.1886,7.3134,6.751,29.884,6.516,6.6263,-13.3423,-143.9942,13.6643,True
2012-05-09,6.13,6.44,6.04,6.36,36700200.0,-0.3544,0.0129,-0.3415,6.1575,7.264,6.7107,33.9557,6.424,6.579,-13.3244,-133.6908,14.1386,True
2012-05-10,6.45,6.47,6.21,6.29,25417400.0,-0.3513,0.0124,-0.339,6.1235,7.2125,6.668,32.7664,6.388,6.5313,-14.3046,-123.4883,13.7573,True
2012-05-11,6.24,6.41,6.22,6.36,18440800.0,-0.3466,0.019,-0.3275,6.0951,7.1809,6.638,35.1981,6.35,6.5127,-9.7183,-117.4268,13.7573,True
2012-05-14,6.21,6.27,6.1,6.21,30453100.0,-0.3426,0.0158,-0.3268,6.0657,7.1198,6.5927,32.4994,6.292,6.4847,-12.9167,-123.4758,14.9329,True
2012-05-15,6.17,6.18,5.96,6.02,44146400.0,-0.3416,0.0039,-0.3377,6.0371,7.0264,6.5317,29.4364,6.248,6.452,-15.6314,-129.2138,16.2867,True
2012-05-16,6.11,6.53,6.02,6.15,54051400.0,-0.3397,0.0077,-0.332,6.0303,6.9412,6.4857,33.9967,6.206,6.4273,-9.6819,-109.6328,11.7645,True
2012-05-17,6.16,6.25,5.91,5.95,32690400.0,-0.3397,0.0,-0.3397,5.9861,6.8799,6.433,30.7238,6.138,6.384,-14.5007,-120.0469,12.8477,False
2012-05-18,6.0,6.01,5.59,5.625,33622900.0,-0.3453,-0.0225,-0.3678,5.8242,6.9403,6.3822,26.3133,5.991,6.321,-12.1345,-136.5049,15.9021,False
2012-05-21,5.65,5.81,5.63,5.78,27203500.0,-0.3509,-0.0223,-0.3733,5.736,6.9435,6.3397,31.3491,5.905,6.267,-13.9259,-130.6147,15.9021,False
2012-05-22,5.81,5.84,5.63,5.71,25413200.0,-0.3565,-0.0224,-0.3789,5.6428,6.9567,6.2997,30.3456,5.843,6.2023,-13.3531,-126.8999,15.5096,False
2012-05-23,5.63,5.8,5.59,5.75,25617400.0,-0.3604,-0.0154,-0.3757,5.571,6.9515,6.2612,31.6845,5.763,6.131,-13.3034,-124.128,15.8958,False
2012-05-24,5.75,5.83,5.67,5.74,22189900.0,-0.3622,-0.0076,-0.3698,5.5108,6.9257,6.2182,31.5222,5.721,6.0823,-12.6592,-117.9618,15.4932,False
2012-05-25,5.76,6.01,5.75,5.96,21177100.0,-0.3585,0.0151,-0.3434,5.4911,6.8844,6.1877,38.8992,5.788,6.043,-10.0299,-103.1959,13.0958,True
2012-05-29,6.04,6.15,6.02,6.12,20990400.0,-0.348,0.042,-0.306,5.4922,6.8363,6.1642,43.6311,5.856,6.0177,-7.9341,-86.7195,11.2689,True
2012-05-30,6.04,6.05,5.89,5.99,25220500.0,-0.3351,0.0515,-0.2836,5.4975,6.762,6.1297,40.8754,5.912,6.001,-11.4202,-93.0104,12.6021,True
2012-05-31,5.99,5.99,5.74,5.84,30707900.0,-0.3231,0.0482,-0.2748,5.5225,6.639,6.0807,37.9149,5.93,5.9663,-12.8093,-98.7357,14.1162,True
2012-06-01,5.7,5.75,5.4,5.45,30331900.0,-0.3176,0.0217,-0.2959,5.4377,6.6218,6.0297,31.5495,5.872,5.9103,-17.5036,-118.9829,17.4142,True
2012-06-04,5.47,5.56,5.3,5.39,18704000.0,-0.3169,0.003,-0.3138,5.3678,6.5757,5.9717,30.6999,5.758,5.8457,-19.3033,-123.5144,18.352,True
2012-06-05,5.41,5.65,5.39,5.595,31258900.0,-0.3151,0.0071,-0.3079,5.3528,6.5002,5.9265,36.9183,5.653,5.8047,-16.2963,-110.4691,17.1346,True
2012-06-06,5.67,5.81,5.6399,5.75,35081500.0,-0.3096,0.0221,-0.2875,5.3422,6.4618,5.902,41.1932,5.605,5.7867,-9.6423,-93.7494,14.9961,True
2012-06-07,5.87,5.89,5.64,5.67,33187500.0,-0.3026,0.028,-0.2745,5.3408,6.3942,5.8675,39.7052,5.571,5.7547,-8.5404,-91.2866,13.9384,True
2012-06-08,5.65,5.9,5.64,5.88,19022300.0,-0.2909,0.0464,-0.2445,5.357,6.337,5.847,45.2657,5.657,5.75,-8.8099,-83.8549,13.8053,True
2012-06-11,5.97,6.04,5.7,5.705,21462000.0,-0.2792,0.047,-0.2321,5.3816,6.2469,5.8142,41.822,5.72,5.7553,-5.7722,-81.5589,11.944,True
2012-06-12,5.72,5.94,5.72,5.92,21282500.0,-0.2639,0.0612,-0.2027,5.4032,6.1963,5.7997,47.1177,5.785,5.7647,-5.2632,-76.6433,11.944,True
2012-06-13,5.91,5.99,5.81,5.855,31202500.0,-0.2476,0.0651,-0.1825,5.407,6.176,5.7915,45.7682,5.806,5.7743,-3.0744,-73.3077,11.2718,True
2012-06-14,5.85,5.89,5.65,5.755,32597900.0,-0.2326,0.0601,-0.1725,5.4241,6.1194,5.7717,43.7049,5.823,5.7747,-9.8009,-82.1121,12.9724,True
2012-06-15,5.77,5.9,5.69,5.89,27553500.0,-0.2165,0.0645,-0.152,5.4263,6.1112,5.7687,47.1511,5.825,5.7847,-5.6,-75.7408,12.8349,True
2012-06-18,5.81,6.0,5.81,5.94,19383900.0,-0.1992,0.069,-0.1302,5.441,6.128,5.7845,48.4044,5.872,5.7833,-0.1664,-66.2939,11.4559,True
2012-06-19,6.02,6.15,5.98,6.1,22652800.0,-0.1791,0.0803,-0.0989,5.4305,6.1705,5.8005,52.2842,5.908,5.782,5.852,-49.4546,9.416,True
2012-06-20,6.12,6.2,6.0,6.12,30272100.0,-0.1576,0.086,-0.0716,5.4286,6.2134,5.821,52.76,5.961,5.7907,6.1644,-44.5154,8.7414,True
2012-06-21,5.92,5.97,5.61,5.645,51272200.0,-0.1436,0.0563,-0.0873,5.4169,6.2146,5.8157,42.0829,5.939,5.7777,2.931,-79.7741,12.9966,True
2012-06-22,5.68,5.75,5.53,5.74,33486500.0,-0.1331,0.042,-0.0911,5.4169,6.2146,5.8157,44.4901,5.909,5.797,-1.3722,-85.389,13.8347,True
2012-06-25,5.66,5.73,5.55,5.59,19795900.0,-0.1274,0.0225,-0.1049,5.3926,6.2019,5.7972,41.5674,5.839,5.8103,-4.6589,-89.6186,13.8347,True
2012-06-26,5.61,5.69,5.52,5.63,17684200.0,-0.1242,0.0128,-0.1114,5.3905,6.155,5.7727,42.6439,5.745,5.8127,-7.4797,-89.5724,14.1554,True
2012-06-27,5.63,5.74,5.56,5.72,13836100.0,-0.121,0.013,-0.108,5.3898,6.1287,5.7592,45.083,5.665,5.8107,-5.124,-81.1375,13.4398,True
2012-06-28,5.63,5.98,5.6,5.97,34680300.0,-0.1136,0.0294,-0.0842,5.3864,6.1451,5.7657,51.2528,5.73,5.8307,-0.1669,-57.1423,10.0715,True
2012-06-29,6.1,6.32,6.07,6.31,32253900.0,-0.0984,0.0609,-0.0374,5.3895,6.228,5.8087,58.1103,5.844,5.8593,9.913,-3.2459,5.5561,True
2012-07-02,6.73,6.82,6.45,6.55,51141600.0,-0.075,0.0937,0.0188,5.3798,6.3537,5.8667,62.1385,6.036,5.9157,22.6619,53.7371,0.5455,True
2012-07-03,6.58,6.93,6.57,6.89,46397000.0,-0.042,0.1317,0.0897,5.2873,6.5757,5.9315,66.9609,6.288,5.9803,22.6549,84.9598,1.8152,True
2012-07-05,6.84,6.91,6.66,6.81,21914500.0,-0.006,0.1439,0.1379,5.2418,6.7272,5.9845,64.8777,6.506,6.044,18.9329,86.8866,1.8152,True
2012-07-06,6.7,6.75,6.55,6.715,22702200.0,0.0285,0.138,0.1665,5.2445,6.829,6.0367,62.4074,6.655,6.108,14.601,71.5028,0.4884,True
2012-07-09,6.71,6.82,6.415,6.49,19842000.0,0.0566,0.1125,0.169,5.2548,6.8797,6.0672,56.9088,6.691,6.148,15.5932,59.9643,1.1198,True
2012-07-10,6.43,6.48,6.06,6.16,36372300.0,0.0738,0.069,0.1428,5.2941,6.8859,6.09,49.9877,6.613,6.1627,7.2848,7.4083,5.178,True
2012-07-11,6.2,6.25,6.015,6.21,33358600.0,0.084,0.0406,0.1246,5.311,6.898,6.1045,50.956,6.477,6.17,5.2189,-2.5589,5.6771,True
2012-07-12,6.14,6.18,5.94,6.13,38542700.0,0.0877,0.0148,0.1025,5.333,6.9035,6.1182,49.3191,6.341,6.1707,3.172,-12.8208,6.511,True
2012-07-13,6.13,6.24,6.04,6.13,25684400.0,0.0869,-0.0029,0.084,5.3696,6.9044,6.137,49.3191,6.224,6.203,5.9423,-0.2476,5.7503,False
2012-07-16,6.09,6.1,5.85,6.0,27492500.0,0.0812,-0.0229,0.0583,5.3807,6.9043,6.1425,46.5307,6.126,6.2203,3.3898,-26.9987,7.8692,False
2012-07-17,6.02,6.08,5.74,5.77,35517600.0,0.0688,-0.0497,0.019,5.3597,6.9083,6.134,42.0267,6.048,6.2323,1.3333,-49.078,9.0726,False
2012-07-18,5.7,5.96,5.68,5.84,24954300.0,0.0538,-0.0601,-0.0063,5.3362,6.9058,6.121,43.8006,5.974,6.2463,-3.0894,-54.7557,9.7268,False
2012-07-19,5.9,6.01,5.76,5.775,23679200.0,0.0367,-0.068,-0.0313,5.3046,6.9029,6.1037,42.5066,5.903,6.25,-3.0645,-48.6132,9.0619,False
2012-07-20,5.98,6.13,5.8,5.825,44481200.0,0.0201,-0.0666,-0.0465,5.3306,6.8949,6.1127,43.8732,5.842,6.2403,2.6801,-32.3851,7.4724,False
2012-07-23,5.71,5.8,5.57,5.62,42241400.0,0.0012,-0.0755,-0.0743,5.3115,6.902,6.1067,39.7252,5.766,6.1943,0.8696,-84.6894,10.0282,False
2012-07-24,5.68,5.76,5.56,5.725,32284100.0,-0.0164,-0.0704,-0.0868,5.3338,6.8932,6.1135,42.6983,5.757,6.1393,0.5236,-78.6453,10.138,False
2012-07-25,5.71,5.93,5.71,5.84,27639700.0,-0.0304,-0.056,-0.0864,5.3652,6.8828,6.124,45.8335,5.757,6.0693,4.2179,-45.0644,7.8633,False
2012-07-26,5.92,6.08,5.89,5.955,22586300.0,-0.0395,-0.0365,-0.076,5.3953,6.8762,6.1357,48.8331,5.793,6.0123,5.9233,-9.3641,5.9007,False
2012-07-27,6.04,6.3,5.99,6.275,23951500.0,-0.0399,-0.0015,-0.0414,5.4123,6.8897,6.151,56.0836,5.883,5.983,5.3512,44.8889,3.1027,False
2012-07-30,6.2,6.24,6.01,6.11,27533800.0,-0.0373,0.0103,-0.027,5.4057,6.8763,6.141,52.0119,5.981,5.9577,-1.2658,31.3162,3.1027,True
2012-07-31,6.22,6.5,6.18,6.21,51573800.0,-0.0314,0.0239,-0.0075,5.412,6.836,6.124,54.1724,6.078,5.961,-4.6921,79.8956,0.1225,True
2012-08-01,6.31,6.42,6.17,6.27,23396400.0,-0.0225,0.0353,0.0127,5.4685,6.7175,6.093,55.4614,6.164,5.965,-7.3593,80.0355,0.0002,True
2012-08-02,6.19,6.3,6.07,6.16,17632000.0,-0.0141,0.0337,0.0196,5.5277,6.5933,6.0605,52.5575,6.205,5.967,-8.8278,51.3844,1.2273,True
2012-08-03,6.32,6.45,6.24,6.33,22472200.0,-0.0036,0.042,0.0384,5.5816,6.5009,6.0412,56.3425,6.216,5.9803,-4.4444,94.4366,0.6333,True
2012-08-06,6.39,6.64,6.32,6.57,26896900.0,0.0115,0.0603,0.0718,5.569,6.5215,6.0452,61.0437,6.308,6.0183,-2.6393,136.955,2.9316,True
2012-08-07,6.7,6.98,6.67,6.82,43058500.0,0.0326,0.0845,0.1171,5.4953,6.6612,6.0782,65.2232,6.43,6.0883,7.716,209.2448,6.8522,True
2012-08-08,6.75,6.94,6.64,6.89,31848700.0,0.0574,0.0994,0.1568,5.4314,6.7931,6.1122,66.3076,6.554,6.1583,11.04,197.398,6.4663,True
2012-08-09,6.82,6.92,6.7,6.81,20530400.0,0.0819,0.0979,0.1798,5.4004,6.8921,6.1462,63.8689,6.684,6.2273,11.9741,181.4281,6.4663,True
2012-08-10,6.75,6.85,6.65,6.76,22000700.0,0.1039,0.0879,0.1917,5.3856,6.9699,6.1777,62.3338,6.77,6.2897,9.7756,160.8139,5.8077,True
2012-08-13,6.76,6.78,6.6,6.715,15999100.0,0.1221,0.0732,0.1953,5.3926,7.0344,6.2135,60.9217,6.799,6.3627,11.1475,140.1498,5.1463,True
2012-08-14,6.77,6.78,6.465,6.55,27521900.0,0.1343,0.0485,0.1827,5.4456,7.0594,6.2525,55.9431,6.745,6.4177,11.5132,113.5592,3.3719,True
2012-08-15,6.56,6.59,6.42,6.49,34554600.0,0.1406,0.0254,0.166,5.495,7.075,6.285,54.2169,6.665,6.461,10.5705,89.4216,2.784,True
2012-08-16,6.55,6.67,6.51,6.61,15837900.0,0.1446,0.016,0.1606,5.5611,7.0924,6.3267,57.0564,6.625,6.5047,10.9817,104.9961,3.7735,True
2012-08-17,6.61,6.69,6.51,6.57,14958900.0,0.1459,0.0054,0.1513,5.6277,7.1003,6.364,55.82,6.587,6.5243,9.1354,99.5222,4.0218,True
2012-08-20,6.54,6.6,6.4,6.49,16021800.0,0.1439,-0.008,0.136,5.754,7.061,6.4075,53.3429,6.542,6.5497,13.7931,77.6931,2.5415,False
2012-08-21,6.47,6.63,6.41,6.46,24481500.0,0.1392,-0.0192,0.12,5.8706,7.0179,6.4442,52.4085,6.524,6.5663,15.1042,75.4411,2.9247,False
2012-08-22,6.44,6.48,6.26,6.32,26041200.0,0.1303,-0.0354,0.0949,5.9615,6.975,6.4682,48.1879,6.49,6.5697,9.2749,45.0692,0.9075,False
2012-08-23,6.29,6.3,6.162,6.255,18181300.0,0.118,-0.049,0.069,6.0225,6.944,6.4832,46.3318,6.419,6.576,3.6184,21.8806,0.3896,False
2012-08-24,6.23,6.31,6.07,6.3,19076600.0,0.1047,-0.0532,0.0515,6.0258,6.9432,6.4845,47.8226,6.365,6.574,0.1587,18.4052,1.5972,False
2012-08-27,6.3,6.31,6.15,6.23,13222300.0,0.0901,-0.0585,0.0317,6.0488,6.9322,6.4905,45.7066,6.313,6.5513,1.1218,17.1858,1.5972,False
2012-08-28,6.22,6.3,6.18,6.2,14263800.0,0.0748,-0.0614,0.0133,6.047,6.933,6.49,44.7964,6.261,6.51,-3.0769,14.2514,1.5972,False
2012-08-29,6.22,6.29,6.17,6.2,16111300.0,0.0596,-0.0608,-0.0012,6.0355,6.9375,6.4865,44.7964,6.237,6.464,-2.0249,10.8228,1.7334,False
2012-08-30,6.21,6.26,6.12,6.18,18488300.0,0.0448,-0.059,-0.0141,6.0394,6.9356,6.4875,44.124,6.222,6.422,-0.6349,2.0821,2.42,False
2012-08-31,6.22,6.3,6.17,6.21,20650100.0,0.0315,-0.0532,-0.0217,6.022,6.941,6.4815,45.4402,6.204,6.3853,-2.3256,9.2855,1.8411,False
2012-09-04,6.21,6.22,6.07,6.09,18706900.0,0.0178,-0.0548,-0.037,5.9697,6.9453,6.4575,41.2734,6.176,6.3437,-6.3253,-14.6945,3.2318,False
2012-09-05,6.11,6.21,6.02,6.19,29149500.0,0.0061,-0.0467,-0.0406,5.9549,6.8971,6.426,45.7177,6.174,6.3197,-11.0315,-13.1157,3.9239,False
2012-09-06,6.4,6.7,6.39,6.675,45887300.0,0.0041,-0.0083,-0.0042,5.9784,6.8521,6.4152,61.0391,6.269,6.332,-3.4582,88.4325,2.9912,False
2012-09-07,6.55,6.57,6.25,6.42,63824900.0,0.0041,-0.0001,0.004,5.9981,6.7934,6.3957,52.6652,6.317,6.3193,-5.0578,46.0236,1.0377,False
2012-09-10,6.42,6.49,6.35,6.41,21166500.0,0.0052,0.0044,0.0096,6.0171,6.7394,6.3782,52.3634,6.357,6.3087,-5.2555,44.9756,1.0377,True
2012-09-11,6.44,6.475,6.29,6.36,29081200.0,0.0061,0.0037,0.0098,6.0341,6.6869,6.3605,50.8036,6.411,6.3,-4.4985,33.2751,0.1954,True
2012-09-12,6.38,6.48,6.37,6.47,16725000.0,0.0086,0.0101,0.0187,6.0376,6.6754,6.3565,54.0313,6.467,6.3007,-4.4248,47.0032,0.2659,True
2012-09-13,6.47,6.66,6.42,6.6,30512400.0,0.0141,0.0218,0.0358,6.0305,6.6935,6.362,57.5572,6.452,6.3193,1.0622,73.2469,2.7787,True
2012-09-14,6.64,6.8,6.62,6.7,20525400.0,0.0226,0.0342,0.0568,6.0196,6.7134,6.3665,60.0808,6.508,6.349,1.949,103.8043,4.6783,True
2012-09-17,6.69,6.74,6.51,6.57,20437100.0,0.0305,0.0317,0.0622,6.0196,6.7134,6.3665,55.4857,6.54,6.367,0.7474,77.6656,3.0692,True
2012-09-18,6.54,6.57,6.4,6.48,18295100.0,0.0361,0.0224,0.0586,6.0198,6.7122,6.366,52.5068,6.564,6.3837,-0.4545,46.3684,1.4827,True
2012-09-19,6.55,6.72,6.55,6.65,24783700.0,0.0426,0.026,0.0686,6.0096,6.7414,6.3755,57.1613,6.6,6.4137,1.3575,81.6604,3.5416,True
2012-09-20,6.58,6.6,6.39,6.45,37495900.0,0.046,0.0137,0.0597,6.0156,6.7484,6.382,50.8764,6.57,6.4303,1.8519,39.9451,1.2464,True
2012-09-21,6.5,6.52,6.3,6.36,26892900.0,0.0458,-0.0009,0.0449,6.0253,6.7492,6.3872,48.3151,6.502,6.4423,3.4921,15.4009,0.0214,False
2012-09-24,6.25,6.26,6.11,6.255,38107000.0,0.0415,-0.0171,0.0244,6.0204,6.7496,6.385,45.4547,6.439,6.4453,-0.7924,-36.0762,2.6388,False
2012-09-25,6.35,6.36,6.09,6.105,36271200.0,0.0325,-0.0363,-0.0039,5.9997,6.7578,6.3787,41.678,6.364,6.4463,0.7924,-42.056,1.2205,False
2012-09-26,6.1,6.1,5.87,5.94,33656700.0,0.0181,-0.0573,-0.0392,5.9473,6.7842,6.3657,37.9607,6.222,6.4297,-3.1746,-96.7035,4.1827,False
2012-09-27,6.01,6.07,5.9,6.015,38639200.0,0.0024,-0.0628,-0.0604,5.9162,6.7968,6.3565,40.5433,6.135,6.3857,-3.4976,-87.3243,4.1827,False
2012-09-28,6.05,6.24,5.97,5.98,41019800.0,-0.0139,-0.0652,-0.0791,5.8822,6.8108,6.3465,39.7167,6.059,6.3563,-0.3195,-66.687,1.7444,False
